observation,string,abstract,node,accuracy
6,M2R2V1_DEC,A9,C4,1
7,M2R2V1_DEC,A9,C4,0.4
8,M2R2V1_DEC,A9,C4,0.8
9,M2R2V1_DEC,A9,C4,1
10,M2R2V1_DEC,A9,C4,1
11,M2R2V1_DEC,A9,C4,0.8
12,M2R2V1_DEC,A9,C4,1
13,M2R2V1_DEC,A9,C4,1
14,M2R2V1_DEC,A9,C4,0.6
15,M2R2V1_DEC,A9,C4,1
16,M2R2V1_DEC,A9,C4,1
17,M2R2V1_DEC,A9,C4,1
18,M2R2V1_DEC,A9,C4,0.6
19,M2R2V1_DEC,A9,C4,0.8
20,M2R2V1_DEC,A9,C4,1
21,M2R2V1_DEC,A9,C4,0.8
22,M2R2V1_DEC,A9,C4,0.8
23,M2R2V1_DEC,A9,C4,1
24,M2R2V1_DEC,A9,C4,0.6
25,M2R2V1_DEC,A9,C4,0.4
26,M2R2V1_DEC,A9,C4,1
27,M2R2V1_DEC,A9,C4,0.8
28,M2R2V1_DEC,A9,C4,1
29,M2R2V1_DEC,A9,C4,0.8
30,M2R2V1_DEC,A9,C4,0.8
1,M3R0V0_OCTRNG,A19,"C1,T4",0.6
2,M3R0V0_OCTRNG,A19,"C1,T4",NA
3,M3R0V0_OCTRNG,A19,"C1,T4",0.8
4,M3R0V0_OCTRNG,A19,"C1,T4",1
5,M3R0V0_OCTRNG,A19,"C1,T4",1
6,M3R0V0_OCTRNG,A19,"C1,T4",0.6
7,M3R0V0_OCTRNG,A19,"C1,T4",0.6
8,M3R0V0_OCTRNG,A19,"C1,T4",1
9,M3R0V0_OCTRNG,A19,"C1,T4",1
10,M3R0V0_OCTRNG,A19,"C1,T4",0.5
11,M3R0V0_OCTRNG,A19,"C1,T4",1
12,M3R0V0_OCTRNG,A19,"C1,T4",0.6
13,M3R0V0_OCTRNG,A19,"C1,T4",NA
14,M3R0V0_OCTRNG,A19,"C1,T4",0.4
15,M3R0V0_OCTRNG,A19,"C1,T4",0.75
16,M3R0V0_OCTRNG,A19,"C1,T4",0.5
17,M3R0V0_OCTRNG,A19,"C1,T4",0.6
18,M3R0V0_OCTRNG,A19,"C1,T4",1
19,M3R0V0_OCTRNG,A19,"C1,T4",0.4
20,M3R0V0_OCTRNG,A19,"C1,T4",NA
21,M3R0V0_OCTRNG,A19,"C1,T4",0.6
22,M3R0V0_OCTRNG,A19,"C1,T4",0.4
23,M3R0V0_OCTRNG,A19,"C1,T4",1
